epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8342,1.23465,3.85025,1.63868,0.00652,0.89583,0.11014,0.06213,0.91717,4.42205,1.46679,4.284e-05,4.284e-05,4.284e-05
2,90.0416,1.18405,3.80197,1.60101,0.00738,0.89583,0.28225,0.19461,0.93322,4.40045,1.45398,9.09822e-05,9.09822e-05,9.09822e-05
3,134.162,1.145,3.71994,1.53856,0.00842,0.89583,0.37115,0.238,0.87105,4.37944,1.46366,0.000137145,0.000137145,0.000137145
4,178.126,1.11797,3.57088,1.52437,0.00882,0.89583,0.44683,0.30333,0.86979,4.34911,1.4961,0.000181329,0.000181329,0.000181329
5,222.882,1.23055,3.41382,1.54819,0.00846,0.85417,0.44659,0.30496,0.94804,4.34991,1.5133,0.000223533,0.000223533,0.000223533
6,268.884,1.23806,3.36705,1.56023,0.00738,0.91667,0.47957,0.31236,0.91942,4.22477,1.48677,0.000263759,0.000263759,0.000263759
7,313.68,1.14796,3.11794,1.54404,0.00712,0.91667,0.50149,0.30826,0.99184,4.16629,1.53076,0.000302005,0.000302005,0.000302005
8,359.363,1.24188,3.08315,1.56236,0.00717,0.95833,0.47249,0.28597,1.12097,4.01961,1.55998,0.000338272,0.000338272,0.000338272
9,405.779,1.18075,2.75234,1.483,1,0.11862,0.49587,0.27718,1.16499,4.01637,1.63019,0.000372559,0.000372559,0.000372559
10,453.698,1.12916,2.74439,1.51112,0.69774,0.25,0.4842,0.21913,1.37106,3.92786,1.77462,0.000404868,0.000404868,0.000404868
11,500.358,1.08435,2.49904,1.41217,0.95632,0.25,0.44809,0.24319,1.40622,3.75887,1.81946,0.000435197,0.000435197,0.000435197
12,546.671,1.11821,2.60007,1.53829,0.59258,0.33333,0.47447,0.25338,1.39177,3.69992,1.78445,0.000463547,0.000463547,0.000463547
13,593.574,1.129,2.47582,1.51066,0.68478,0.5001,0.50112,0.29712,1.41476,3.4783,1.73822,0.000489918,0.000489918,0.000489918
14,639.916,1.11722,2.5006,1.56057,0.68478,0.5001,0.50112,0.29712,1.41476,3.4783,1.73822,0.00051431,0.00051431,0.00051431
15,686.652,1.07488,2.38272,1.53122,0.74079,0.52083,0.63062,0.39776,1.34911,3.36721,1.66534,0.000516079,0.000516079,0.000516079
16,732.295,1.05857,2.32989,1.4746,0.75598,0.5665,0.64673,0.44456,1.29544,3.4929,1.7029,0.000501942,0.000501942,0.000501942
17,777.294,1.05427,2.23899,1.4517,0.65296,0.64737,0.63018,0.46639,1.29068,3.70139,1.72125,0.000487805,0.000487805,0.000487805
